cond,rt,subjects
a_up_f,582.0,1
n_up_f,345.0,1
i_up_f,451.0,1
a_dw_f,502.0,1
n_dw_f,618.0,1
i_dw_f,519.0,1
a_up_m,503.5,1
n_up_m,442.0,1
i_up_m,nan,1
a_dw_m,568.0,1
n_dw_m,519.5,1
i_dw_m,435.0,1
a_up_f,465.5,2
n_up_f,603.0,2
i_up_f,586.0,2
a_dw_f,627.5,2
n_dw_f,720.0,2
i_dw_f,339.0,2
a_up_m,460.0,2
n_up_m,403.0,2
i_up_m,nan,2
a_dw_m,568.0,2
n_dw_m,635.5,2
i_dw_m,nan,2
a_up_f,351.0,3
n_up_f,693.0,3
i_up_f,nan,3
a_dw_f,685.0,3
n_dw_f,294.0,3
i_dw_f,436.0,3
a_up_m,430.0,3
n_up_m,361.0,3
i_up_m,nan,3
a_dw_m,562.0,3
n_dw_m,569.0,3
i_dw_m,593.0,3
a_up_f,nan,4
n_up_f,nan,4
i_up_f,nan,4
a_dw_f,nan,4
n_dw_f,373.0,4
i_dw_f,nan,4
a_up_m,nan,4
n_up_m,nan,4
i_up_m,nan,4
a_dw_m,564.5,4
n_dw_m,345.0,4
i_dw_m,nan,4
a_up_f,618.0,5
n_up_f,535.0,5
i_up_f,nan,5
a_dw_f,319.0,5
n_dw_f,411.0,5
i_dw_f,nan,5
a_up_m,nan,5
n_up_m,329.0,5
i_up_m,nan,5
a_dw_m,685.0,5
n_dw_m,576.5,5
i_dw_m,nan,5
a_up_f,395.5,6
n_up_f,452.0,6
i_up_f,338.5,6
a_dw_f,535.0,6
n_dw_f,529.5,6
i_dw_f,432.5,6
a_up_m,377.0,6
n_up_m,518.0,6
i_up_m,585.0,6
a_dw_m,543.0,6
n_dw_m,430.0,6
i_dw_m,741.0,6
a_up_f,386.0,7
n_up_f,379.0,7
i_up_f,nan,7
a_dw_f,492.0,7
n_dw_f,728.0,7
i_dw_f,781.5,7
a_up_m,607.5,7
n_up_m,535.0,7
i_up_m,318.0,7
a_dw_m,nan,7
n_dw_m,420.5,7
i_dw_m,nan,7
a_up_f,412.0,8
n_up_f,664.0,8
i_up_f,nan,8
a_dw_f,412.5,8
n_dw_f,562.5,8
i_dw_f,519.0,8
a_up_m,451.0,8
n_up_m,624.0,8
i_up_m,nan,8
a_dw_m,517.0,8
n_dw_m,318.0,8
i_dw_m,nan,8
a_up_f,496.0,9
n_up_f,nan,9
i_up_f,585.0,9
a_dw_f,462.0,9
n_dw_f,668.5,9
i_dw_f,539.0,9
a_up_m,696.0,9
n_up_m,570.0,9
i_up_m,701.0,9
a_dw_m,565.5,9
n_dw_m,609.0,9
i_dw_m,430.0,9
a_up_f,521.0,10
n_up_f,532.5,10
i_up_f,413.0,10
a_dw_f,591.0,10
n_dw_f,451.5,10
i_dw_f,572.5,10
a_up_m,304.0,10
n_up_m,513.0,10
i_up_m,nan,10
a_dw_m,602.0,10
n_dw_m,702.0,10
i_dw_m,nan,10
a_up_f,nan,11
n_up_f,585.0,11
i_up_f,nan,11
a_dw_f,447.5,11
n_dw_f,622.0,11
i_dw_f,nan,11
a_up_m,485.0,11
n_up_m,568.0,11
i_up_m,478.0,11
a_dw_m,518.0,11
n_dw_m,452.0,11
i_dw_m,332.0,11
a_up_f,323.5,12
n_up_f,365.0,12
i_up_f,nan,12
a_dw_f,551.0,12
n_dw_f,509.0,12
i_dw_f,411.0,12
a_up_m,436.5,12
n_up_m,520.0,12
i_up_m,nan,12
a_dw_m,411.0,12
n_dw_m,335.0,12
i_dw_m,402.0,12
a_up_f,601.0,13
n_up_f,306.5,13
i_up_f,nan,13
a_dw_f,550.5,13
n_dw_f,619.0,13
i_dw_f,573.0,13
a_up_m,335.0,13
n_up_m,518.5,13
i_up_m,nan,13
a_dw_m,597.0,13
n_dw_m,401.0,13
i_dw_m,nan,13
a_up_f,518.0,14
n_up_f,596.0,14
i_up_f,nan,14
a_dw_f,443.5,14
n_dw_f,579.0,14
i_dw_f,385.5,14
a_up_m,394.0,14
n_up_m,479.5,14
i_up_m,379.0,14
a_dw_m,734.0,14
n_dw_m,481.5,14
i_dw_m,518.0,14
a_up_f,680.0,15
n_up_f,475.0,15
i_up_f,519.5,15
a_dw_f,469.0,15
n_dw_f,453.0,15
i_dw_f,540.0,15
a_up_m,602.0,15
n_up_m,496.0,15
i_up_m,nan,15
a_dw_m,481.0,15
n_dw_m,454.5,15
i_dw_m,312.0,15
a_up_f,481.0,16
n_up_f,610.0,16
i_up_f,nan,16
a_dw_f,688.0,16
n_dw_f,520.0,16
i_dw_f,nan,16
a_up_m,498.0,16
n_up_m,521.0,16
i_up_m,354.0,16
a_dw_m,496.0,16
n_dw_m,350.5,16
i_dw_m,711.0,16
a_up_f,565.0,17
n_up_f,643.5,17
i_up_f,556.0,17
a_dw_f,537.0,17
n_dw_f,600.5,17
i_dw_f,396.0,17
a_up_m,646.0,17
n_up_m,589.0,17
i_up_m,736.0,17
a_dw_m,591.5,17
