cond,rt,subjects
a_up_f,513.0,1
n_up_f,562.0,1
i_up_f,450.5,1
a_dw_f,518.0,1
n_dw_f,618.0,1
i_dw_f,619.0,1
a_up_m,640.0,1
n_up_m,512.0,1
i_up_m,404.0,1
a_dw_m,540.0,1
n_dw_m,572.5,1
i_dw_m,422.0,1
a_up_f,539.0,2
n_up_f,435.0,2
i_up_f,618.0,2
a_dw_f,551.0,2
n_dw_f,435.0,2
i_dw_f,523.0,2
a_up_m,546.0,2
n_up_m,501.0,2
i_up_m,609.0,2
a_dw_m,417.0,2
n_dw_m,502.0,2
i_dw_m,nan,2
a_up_f,613.0,3
n_up_f,502.0,3
i_up_f,466.5,3
a_dw_f,602.0,3
n_dw_f,604.5,3
i_dw_f,563.0,3
a_up_m,561.0,3
n_up_m,560.0,3
i_up_m,nan,3
a_dw_m,468.0,3
n_dw_m,502.0,3
i_dw_m,nan,3
a_up_f,542.0,4
n_up_f,448.5,4
i_up_f,601.0,4
a_dw_f,572.5,4
n_dw_f,570.0,4
i_dw_f,nan,4
a_up_m,593.5,4
n_up_m,490.0,4
i_up_m,465.5,4
a_dw_m,520.0,4
n_dw_m,618.0,4
i_dw_m,518.0,4
a_up_f,582.0,5
n_up_f,513.0,5
i_up_f,485.0,5
a_dw_f,589.0,5
n_dw_f,529.0,5
i_dw_f,459.5,5
a_up_m,625.0,5
n_up_m,601.0,5
i_up_m,728.5,5
a_dw_m,590.0,5
n_dw_m,470.5,5
i_dw_m,499.5,5
a_up_f,501.0,6
n_up_f,517.0,6
i_up_f,nan,6
a_dw_f,538.0,6
n_dw_f,480.0,6
i_dw_f,nan,6
a_up_m,560.5,6
n_up_m,519.0,6
i_up_m,617.0,6
a_dw_m,530.0,6
n_dw_m,429.5,6
i_dw_m,668.0,6
a_up_f,573.5,7
n_up_f,468.0,7
i_up_f,507.0,7
a_dw_f,514.0,7
n_dw_f,456.0,7
i_dw_f,651.0,7
a_up_m,519.0,7
n_up_m,651.5,7
i_up_m,759.5,7
a_dw_m,618.0,7
n_dw_m,622.0,7
i_dw_m,512.0,7
a_up_f,552.0,8
n_up_f,633.0,8
i_up_f,531.0,8
a_dw_f,552.0,8
n_dw_f,535.5,8
i_dw_f,563.5,8
a_up_m,502.0,8
n_up_m,632.0,8
i_up_m,468.5,8
a_dw_m,585.0,8
n_dw_m,668.0,8
i_dw_m,573.5,8
a_up_f,535.0,9
n_up_f,536.0,9
i_up_f,576.5,9
a_dw_f,513.0,9
n_dw_f,467.5,9
i_dw_f,561.5,9
a_up_m,535.0,9
n_up_m,643.5,9
i_up_m,468.0,9
a_dw_m,488.0,9
n_dw_m,485.0,9
i_dw_m,746.0,9
a_up_f,500.5,10
n_up_f,554.0,10
i_up_f,506.0,10
a_dw_f,585.5,10
n_dw_f,553.5,10
i_dw_f,696.0,10
a_up_m,529.0,10
n_up_m,592.5,10
i_up_m,381.0,10
a_dw_m,532.5,10
n_dw_m,596.0,10
i_dw_m,485.0,10
a_up_f,527.0,11
n_up_f,531.5,11
i_up_f,487.0,11
a_dw_f,584.0,11
n_dw_f,451.0,11
i_dw_f,756.5,11
a_up_m,612.0,11
n_up_m,522.0,11
i_up_m,560.5,11
a_dw_m,526.0,11
n_dw_m,545.0,11
i_dw_m,668.0,11
a_up_f,489.5,12
n_up_f,418.5,12
i_up_f,517.5,12
a_dw_f,472.0,12
n_dw_f,485.0,12
i_dw_f,536.0,12
a_up_m,570.0,12
n_up_m,569.0,12
i_up_m,682.5,12
a_dw_m,635.0,12
n_dw_m,529.5,12
i_dw_m,429.0,12
a_up_f,523.0,13
n_up_f,551.5,13
i_up_f,536.0,13
a_dw_f,629.0,13
n_dw_f,595.0,13
i_dw_f,510.0,13
a_up_m,496.0,13
n_up_m,552.0,13
i_up_m,778.0,13
a_dw_m,534.0,13
n_dw_m,553.5,13
i_dw_m,nan,13
a_up_f,579.0,14
n_up_f,592.0,14
i_up_f,560.0,14
a_dw_f,660.0,14
n_dw_f,585.0,14
i_dw_f,540.0,14
a_up_m,551.0,14
n_up_m,636.0,14
i_up_m,nan,14
a_dw_m,539.5,14
n_dw_m,477.0,14
i_dw_m,nan,14
a_up_f,585.0,15
n_up_f,526.5,15
i_up_f,nan,15
a_dw_f,506.0,15
n_dw_f,486.5,15
i_dw_f,778.0,15
a_up_m,456.0,15
n_up_m,585.0,15
i_up_m,nan,15
a_dw_m,511.0,15
n_dw_m,605.5,15
i_dw_m,nan,15
a_up_f,604.5,16
n_up_f,573.5,16
i_up_f,412.0,16
a_dw_f,569.0,16
n_dw_f,546.0,16
i_dw_f,560.0,16
a_up_m,560.0,16
n_up_m,477.5,16
i_up_m,701.0,16
a_dw_m,616.0,16
n_dw_m,536.0,16
i_dw_m,660.5,16
