experiment,participant,orientation,regularity,variability,condition,RTs
pilot1,1,upright,angry,"NA",upright_angry_NA,411
pilot1,1,upright,neutral,"NA",upright_neutral_NA,405
pilot1,1,upright,irregular,"NA",upright_irregular_NA,433
pilot1,1,inverted,angry,"NA",inverted_angry_NA,411
pilot1,1,inverted,neutral,"NA",inverted_neutral_NA,436.5
pilot1,1,inverted,irregular,"NA",inverted_irregular_NA,444
pilot1,2,upright,angry,"NA",upright_angry_NA,416
pilot1,2,upright,neutral,"NA",upright_neutral_NA,450
pilot1,2,upright,irregular,"NA",upright_irregular_NA,415
pilot1,2,inverted,angry,"NA",inverted_angry_NA,440
pilot1,2,inverted,neutral,"NA",inverted_neutral_NA,417
pilot1,2,inverted,irregular,"NA",inverted_irregular_NA,401
pilot1,3,upright,angry,"NA",upright_angry_NA,450
pilot1,3,upright,neutral,"NA",upright_neutral_NA,443
pilot1,3,upright,irregular,"NA",upright_irregular_NA,434
pilot1,3,inverted,angry,"NA",inverted_angry_NA,441
pilot1,3,inverted,neutral,"NA",inverted_neutral_NA,463
pilot1,3,inverted,irregular,"NA",inverted_irregular_NA,461
pilot1,4,upright,angry,"NA",upright_angry_NA,449
pilot1,4,upright,neutral,"NA",upright_neutral_NA,433
pilot1,4,upright,irregular,"NA",upright_irregular_NA,438.5
pilot1,4,inverted,angry,"NA",inverted_angry_NA,417
pilot1,4,inverted,neutral,"NA",inverted_neutral_NA,419
pilot1,4,inverted,irregular,"NA",inverted_irregular_NA,450
pilot1,5,upright,angry,"NA",upright_angry_NA,455
pilot1,5,upright,neutral,"NA",upright_neutral_NA,433
pilot1,5,upright,irregular,"NA",upright_irregular_NA,434
pilot1,5,inverted,angry,"NA",inverted_angry_NA,424.5
pilot1,5,inverted,neutral,"NA",inverted_neutral_NA,489.5
pilot1,5,inverted,irregular,"NA",inverted_irregular_NA,483
pilot1,6,upright,angry,"NA",upright_angry_NA,405
pilot1,6,upright,neutral,"NA",upright_neutral_NA,405
pilot1,6,upright,irregular,"NA",upright_irregular_NA,413.5
pilot1,6,inverted,angry,"NA",inverted_angry_NA,399
pilot1,6,inverted,neutral,"NA",inverted_neutral_NA,395.5
pilot1,6,inverted,irregular,"NA",inverted_irregular_NA,405
pilot1,7,upright,angry,"NA",upright_angry_NA,449
pilot1,7,upright,neutral,"NA",upright_neutral_NA,456
pilot1,7,upright,irregular,"NA",upright_irregular_NA,417.5
pilot1,7,inverted,angry,"NA",inverted_angry_NA,477
pilot1,7,inverted,neutral,"NA",inverted_neutral_NA,455
pilot1,7,inverted,irregular,"NA",inverted_irregular_NA,466
pilot1,8,upright,angry,"NA",upright_angry_NA,440
pilot1,8,upright,neutral,"NA",upright_neutral_NA,433
pilot1,8,upright,irregular,"NA",upright_irregular_NA,432
pilot1,8,inverted,angry,"NA",inverted_angry_NA,433
pilot1,8,inverted,neutral,"NA",inverted_neutral_NA,433
pilot1,8,inverted,irregular,"NA",inverted_irregular_NA,428
pilot1,9,upright,angry,"NA",upright_angry_NA,405
pilot1,9,upright,neutral,"NA",upright_neutral_NA,409
pilot1,9,upright,irregular,"NA",upright_irregular_NA,399
pilot1,9,inverted,angry,"NA",inverted_angry_NA,413.5
pilot1,9,inverted,neutral,"NA",inverted_neutral_NA,400
pilot1,9,inverted,irregular,"NA",inverted_irregular_NA,402.5
pilot1,10,upright,angry,"NA",upright_angry_NA,467
pilot1,10,upright,neutral,"NA",upright_neutral_NA,471
pilot1,10,upright,irregular,"NA",upright_irregular_NA,459
pilot1,10,inverted,angry,"NA",inverted_angry_NA,472
pilot1,10,inverted,neutral,"NA",inverted_neutral_NA,453.5
pilot1,10,inverted,irregular,"NA",inverted_irregular_NA,457
pilot1,11,upright,angry,"NA",upright_angry_NA,411.5
pilot1,11,upright,neutral,"NA",upright_neutral_NA,413
pilot1,11,upright,irregular,"NA",upright_irregular_NA,399
pilot1,11,inverted,angry,"NA",inverted_angry_NA,397.5
pilot1,11,inverted,neutral,"NA",inverted_neutral_NA,410
pilot1,11,inverted,irregular,"NA",inverted_irregular_NA,412
pilot1,12,upright,angry,"NA",upright_angry_NA,438
pilot1,12,upright,neutral,"NA",upright_neutral_NA,422.5
pilot1,12,upright,irregular,"NA",upright_irregular_NA,450
pilot1,12,inverted,angry,"NA",inverted_angry_NA,433
pilot1,12,inverted,neutral,"NA",inverted_neutral_NA,431
pilot1,12,inverted,irregular,"NA",inverted_irregular_NA,416
pilot1,13,upright,angry,"NA",upright_angry_NA,416
pilot1,13,upright,neutral,"NA",upright_neutral_NA,416
pilot1,13,upright,irregular,"NA",upright_irregular_NA,400
pilot1,13,inverted,angry,"NA",inverted_angry_NA,416
pilot1,13,inverted,neutral,"NA",inverted_neutral_NA,416
pilot1,13,inverted,irregular,"NA",inverted_irregular_NA,426
pilot1,14,upright,angry,"NA",upright_angry_NA,499.5
pilot1,14,upright,neutral,"NA",upright_neutral_NA,524.5
pilot1,14,upright,irregular,"NA",upright_irregular_NA,496
pilot1,14,inverted,angry,"NA",inverted_angry_NA,531
pilot1,14,inverted,neutral,"NA",inverted_neutral_NA,513.5
pilot1,14,inverted,irregular,"NA",inverted_irregular_NA,529
pilot1,15,upright,angry,"NA",upright_angry_NA,453
pilot1,15,upright,neutral,"NA",upright_neutral_NA,467.5
pilot1,15,upright,irregular,"NA",upright_irregular_NA,462
pilot1,15,inverted,angry,"NA",inverted_angry_NA,448.5
pilot1,15,inverted,neutral,"NA",inverted_neutral_NA,437
pilot1,15,inverted,irregular,"NA",inverted_irregular_NA,465.5
pilot2,1,upright,angry,low,upright_angry_low,513
pilot2,1,upright,neutral,low,upright_neutral_low,562
pilot2,1,upright,irregular,low,upright_irregular_low,450.5
pilot2,1,inverted,angry,low,inverted_angry_low,518
pilot2,1,inverted,neutral,low,inverted_neutral_low,618
pilot2,1,inverted,irregular,low,inverted_irregular_low,619
pilot2,1,upright,angry,high,upright_angry_high,640
pilot2,1,upright,neutral,high,upright_neutral_high,512
