subject,pic_id,rating,question
10,1,4,angry
10,2,1,angry
10,3,1,angry
10,4,1,angry
10,5,9,angry
10,10,1,angry
10,15,1,angry
10,20,1,angry
10,1,5,happy
10,2,1,happy
10,3,9,happy
10,4,2,happy
10,5,1,happy
10,10,4,happy
10,15,9,happy
10,20,1,happy
10,1,3,disgusted
10,2,1,disgusted
10,3,2,disgusted
10,4,7,disgusted
10,5,6,disgusted
10,10,1,disgusted
10,15,2,disgusted
10,20,8,disgusted
7,1,6,angry
7,2,2,angry
7,3,1,angry
7,4,6,angry
7,5,8,angry
7,10,5,angry
7,15,1,angry
7,20,6,angry
7,1,2,happy
7,2,4,happy
7,3,6,happy
7,4,2,happy
7,5,1,happy
7,10,1,happy
7,15,8,happy
7,20,3,happy
7,1,5,disgusted
7,2,3,disgusted
7,3,2,disgusted
7,4,8,disgusted
7,5,4,disgusted
7,10,6,disgusted
7,15,4,disgusted
7,20,7,disgusted
13,1,6,angry
13,2,4,angry
13,3,1,angry
13,4,6,angry
13,5,9,angry
13,10,2,angry
13,15,1,angry
13,20,8,angry
13,1,3,happy
13,2,2,happy
13,3,8,happy
13,4,3,happy
13,5,1,happy
13,10,2,happy
13,15,8,happy
13,20,1,happy
13,1,6,disgusted
13,2,5,disgusted
13,3,1,disgusted
13,4,6,disgusted
13,5,7,disgusted
13,10,4,disgusted
13,15,2,disgusted
13,20,8,disgusted
21,1,7,angry
21,2,1,angry
21,3,1,angry
21,4,1,angry
21,5,9,angry
21,10,5,angry
21,15,1,angry
21,20,1,angry
21,1,1,happy
21,2,1,happy
21,3,7,happy
21,4,1,happy
21,5,1,happy
21,10,1,happy
21,15,8,happy
21,20,1,happy
21,1,1,disgusted
21,2,1,disgusted
21,3,1,disgusted
21,4,9,disgusted
21,5,1,disgusted
21,10,1,disgusted
21,15,1,disgusted
21,20,9,disgusted
25,1,7,angry
25,2,1,angry
25,3,1,angry
25,4,2,angry
25,5,8,angry
25,10,1,angry
25,15,1,angry
25,20,2,angry
25,1,1,happy
25,2,1,happy
25,3,7,happy
25,4,1,happy
25,5,1,happy
25,10,1,happy
25,15,7,happy
25,20,1,happy
25,1,2,disgusted
25,2,1,disgusted
25,3,1,disgusted
25,4,7,disgusted
25,5,2,disgusted
25,10,1,disgusted
25,15,1,disgusted
25,20,8,disgusted
16,1,6,angry
16,2,5,angry
16,3,7,angry
16,4,6,angry
16,5,9,angry
16,10,5,angry
16,15,1,angry
16,20,4,angry
16,1,1,happy
16,2,5,happy
16,3,7,happy
16,4,1,happy
16,5,1,happy
16,10,5,happy
16,15,9,happy
16,20,1,happy
16,1,3,disgusted
16,2,5,disgusted
16,3,1,disgusted
16,4,5,disgusted
16,5,1,disgusted
16,10,5,disgusted
