subject,pic_id,rating,question
10,11,2,happy
10,12,1,happy
10,13,1,happy
10,14,2,happy
10,15,1,happy
10,16,2,happy
10,17,1,happy
10,18,2,happy
10,19,1,happy
10,21,5,happy
10,22,4,happy
10,23,5,happy
10,24,5,happy
10,25,5,happy
10,26,3,happy
10,27,5,happy
10,28,3,happy
10,29,4,happy
10,31,8,happy
10,32,7,happy
10,33,8,happy
10,34,7,happy
10,35,8,happy
10,36,8,happy
10,37,7,happy
10,38,7,happy
10,39,7,happy
10,11,7,angry
10,12,9,angry
10,13,8,angry
10,14,7,angry
10,15,8,angry
10,16,7,angry
10,17,9,angry
10,18,7,angry
10,19,9,angry
10,21,5,angry
10,22,4,angry
10,23,5,angry
10,24,5,angry
10,25,5,angry
10,26,6,angry
10,27,5,angry
10,28,4,angry
10,29,6,angry
10,31,1,angry
10,32,2,angry
10,33,1,angry
10,34,1,angry
10,35,1,angry
10,36,1,angry
10,37,2,angry
10,38,1,angry
10,39,2,angry
13,11,3,happy
13,12,1,happy
13,13,1,happy
13,14,5,happy
13,15,1,happy
13,16,4,happy
13,17,1,happy
13,18,1,happy
13,19,1,happy
13,21,5,happy
13,22,5,happy
13,23,5,happy
13,24,3,happy
13,25,5,happy
13,26,4,happy
13,27,5,happy
13,28,5,happy
13,29,4,happy
13,31,8,happy
13,32,7,happy
13,33,8,happy
13,34,8,happy
13,35,7,happy
13,36,7,happy
13,37,7,happy
13,38,8,happy
13,39,9,happy
13,11,7,angry
13,12,9,angry
13,13,8,angry
13,14,6,angry
13,15,8,angry
13,16,6,angry
13,17,9,angry
13,18,8,angry
13,19,9,angry
13,21,1,angry
13,22,3,angry
13,23,5,angry
13,24,6,angry
13,25,5,angry
13,26,2,angry
13,27,3,angry
13,28,5,angry
13,29,5,angry
13,31,1,angry
13,32,1,angry
13,33,2,angry
13,34,1,angry
13,35,1,angry
13,36,1,angry
13,37,1,angry
13,38,1,angry
13,39,1,angry
21,11,4,happy
21,12,1,happy
21,13,1,happy
21,14,1,happy
21,15,3,happy
21,16,2,happy
21,17,1,happy
21,18,2,happy
21,19,1,happy
21,21,2,happy
21,22,5,happy
21,23,4,happy
21,24,4,happy
21,25,3,happy
21,26,3,happy
21,27,5,happy
21,28,3,happy
21,29,2,happy
21,31,3,happy
21,32,7,happy
21,33,9,happy
21,34,3,happy
21,35,7,happy
21,36,7,happy
21,37,3,happy
21,38,8,happy
21,39,2,happy
21,11,5,angry
21,12,9,angry
21,13,9,angry
21,14,8,angry
21,15,5,angry
21,16,7,angry
21,17,9,angry
21,18,7,angry
21,19,7,angry
21,21,5,angry
21,22,5,angry
21,23,6,angry
21,24,4,angry
21,25,4,angry
21,26,5,angry
21,27,3,angry
21,28,4,angry
21,29,6,angry
21,31,3,angry
21,32,3,angry
21,33,1,angry
21,34,2,angry
21,35,1,angry
21,36,2,angry
21,37,3,angry
21,38,1,angry
21,39,1,angry
16,11,3,happy
16,12,2,happy
16,13,2,happy
16,14,3,happy
16,15,3,happy
16,16,1,happy
16,17,1,happy
16,18,2,happy
16,19,1,happy
16,21,2,happy
16,22,4,happy
16,23,4,happy
16,24,1,happy
16,25,3,happy
16,26,2,happy
16,27,4,happy
16,28,1,happy
16,29,5,happy
16,31,9,happy
16,32,7,happy
16,33,8,happy
16,34,8,happy
16,35,9,happy
16,36,8,happy
16,37,8,happy
16,38,9,happy
16,39,5,happy
16,11,8,angry
16,12,7,angry
16,13,8,angry
16,14,8,angry
16,15,8,angry
16,16,9,angry
16,17,9,angry
16,18,7,angry
16,19,9,angry
16,21,4,angry
16,22,4,angry
16,23,5,angry
16,24,4,angry
16,25,5,angry
16,26,4,angry
16,27,4,angry
16,28,2,angry
16,29,4,angry
16,31,1,angry
16,32,2,angry
16,33,1,angry
16,34,1,angry
16,35,1,angry
16,36,1,angry
16,37,1,angry
16,38,1,angry
16,39,5,angry
12,11,3,happy
12,12,1,happy
12,13,1,happy
12,14,2,happy
12,15,1,happy
12,16,1,happy
12,17,1,happy
12,18,2,happy
12,19,1,happy
12,21,5,happy
12,22,5,happy
12,23,5,happy
12,24,4,happy
12,25,3,happy
12,26,4,happy
12,27,5,happy
12,28,3,happy
12,29,3,happy
12,31,8,happy
12,32,6,happy
12,33,7,happy
12,34,7,happy
12,35,7,happy
12,36,4,happy
12,37,6,happy
12,38,7,happy
12,39,8,happy
12,11,5,angry
12,12,1,angry
12,13,9,angry
12,14,2,angry
12,15,9,angry
12,16,6,angry
12,17,1,angry
12,18,6,angry
12,19,1,angry
12,21,6,angry
12,22,5,angry
12,23,5,angry
12,24,3,angry
12,25,5,angry
12,26,5,angry
12,27,2,angry
12,28,3,angry
12,29,3,angry
12,31,1,angry
12,32,3,angry
12,33,1,angry
12,34,1,angry
12,35,1,angry
12,36,6,angry
12,37,3,angry
12,38,1,angry
12,39,1,angry
11,11,3,happy
11,12,1,happy
11,13,1,happy
11,14,3,happy
11,15,1,happy
11,16,3,happy
11,17,2,happy
11,18,1,happy
11,19,1,happy
11,21,4,happy
11,22,5,happy
11,23,5,happy
11,24,4,happy
11,25,1,happy
11,26,5,happy
11,27,5,happy
11,28,5,happy
11,29,4,happy
11,31,7,happy
11,32,6,happy
11,33,8,happy
11,34,7,happy
11,35,9,happy
11,36,6,happy
11,37,7,happy
11,38,8,happy
11,39,7,happy
11,11,7,angry
11,12,9,angry
11,13,8,angry
11,14,7,angry
11,15,6,angry
11,16,5,angry
11,17,8,angry
11,18,8,angry
11,19,9,angry
11,21,2,angry
11,22,3,angry
11,23,5,angry
11,24,5,angry
11,25,4,angry
11,26,3,angry
11,27,4,angry
11,28,4,angry
11,29,2,angry
11,31,1,angry
11,32,2,angry
11,33,1,angry
11,34,1,angry
11,35,1,angry
11,36,3,angry
11,37,2,angry
11,38,1,angry
11,39,1,angry
14,11,2,happy
14,12,5,happy
14,13,1,happy
14,14,2,happy
14,15,3,happy
14,16,1,happy
14,17,1,happy
14,18,3,happy
14,19,2,happy
14,21,2,happy
14,22,3,happy
14,23,4,happy
14,24,5,happy
14,25,3,happy
14,26,3,happy
14,27,5,happy
14,28,1,happy
14,29,2,happy
14,31,9,happy
14,32,6,happy
14,33,6,happy
14,34,8,happy
14,35,6,happy
14,36,6,happy
14,37,8,happy
14,38,7,happy
14,39,8,happy
14,11,4,angry
14,12,5,angry
14,13,8,angry
14,14,4,angry
14,15,6,angry
14,16,7,angry
14,17,9,angry
14,18,6,angry
14,19,7,angry
14,21,7,angry
14,22,4,angry
14,23,2,angry
14,24,5,angry
14,25,6,angry
14,26,4,angry
14,27,5,angry
14,28,3,angry
14,29,6,angry
14,31,1,angry
14,32,3,angry
14,33,1,angry
14,34,2,angry
14,35,2,angry
14,36,2,angry
14,37,2,angry
14,38,2,angry
14,39,2,angry
24,11,3,happy
24,12,1,happy
24,13,1,happy
24,14,3,happy
24,15,4,happy
24,16,3,happy
24,17,1,happy
24,18,2,happy
